filename,true_class,predicted_class,accepted,best_score,second_score,margin,latency_ms
98003P_1_rot149.png,98003P,98003P,True,0.015600,0.989016,0.973417,4.63
98003P_1_rot23.png,98003P,98003P,True,0.058643,0.959238,0.900595,5.30
98003P_1_rot233.png,98003P,98003P,True,0.043824,0.965689,0.921865,4.77
98003P_1_rot71.png,98003P,98003P,True,0.050255,0.952506,0.902251,5.31
98475_1_rot149.png,98475,UNKNOWN,False,0.323443,0.364741,0.041298,4.06
98475_1_rot23.png,98475,UNKNOWN,False,0.316551,1.522402,1.205851,3.98
98475_1_rot233.png,98475,98661BBS-1,True,0.225747,0.357555,0.131808,3.82
98475_1_rot71.png,98475,98661BBS-1,True,0.182234,0.466715,0.284482,3.80
98475_2_rot149.png,98475,UNKNOWN,False,0.561080,1.210561,0.649481,4.35
98475_2_rot23.png,98475,98661BBS-1,True,0.175943,0.292560,0.116618,4.83
98475_2_rot233.png,98475,UNKNOWN,False,0.290224,0.442251,0.152027,3.81
98475_2_rot71.png,98475,98661BBS-1,True,0.185315,0.360425,0.175110,3.77
98661BBS-1_10_rot149.png,98661BBS-1,UNKNOWN,False,4.949394,5.052824,0.103430,4.33
98661BBS-1_10_rot23.png,98661BBS-1,UNKNOWN,False,0.876020,0.966006,0.089987,3.89
98661BBS-1_10_rot233.png,98661BBS-1,UNKNOWN,False,0.433937,1.514445,1.080508,3.89
98661BBS-1_10_rot71.png,98661BBS-1,UNKNOWN,False,1.065583,2.424846,1.359263,4.06
98661BBS-1_1_rot149.png,98661BBS-1,UNKNOWN,False,0.285458,0.559739,0.274281,2.37
98661BBS-1_1_rot23.png,98661BBS-1,98661BBS-1,True,0.233153,0.591902,0.358750,2.65
98661BBS-1_1_rot233.png,98661BBS-1,UNKNOWN,False,0.384150,0.746840,0.362690,2.23
98661BBS-1_1_rot71.png,98661BBS-1,UNKNOWN,False,1.016788,1.388884,0.372095,2.23
98661BBS-1_2_rot149.png,98661BBS-1,98661BBS-1,True,0.086892,0.818531,0.731640,1.98
98661BBS-1_2_rot23.png,98661BBS-1,98661BBS-1,True,0.131590,0.708345,0.576755,2.25
98661BBS-1_2_rot233.png,98661BBS-1,UNKNOWN,False,0.276251,0.628880,0.352629,2.18
98661BBS-1_2_rot71.png,98661BBS-1,98661BBS-1,True,0.067277,0.646129,0.578853,1.74
98661BBS-1_3_rot149.png,98661BBS-1,98661BBS-1,True,0.071699,0.355250,0.283551,2.38
98661BBS-1_3_rot23.png,98661BBS-1,98661BBS-1,True,0.158882,0.549557,0.390675,2.13
98661BBS-1_3_rot233.png,98661BBS-1,98661BBS-1,True,0.226533,0.342826,0.116293,2.49
98661BBS-1_3_rot71.png,98661BBS-1,UNKNOWN,False,0.225063,0.232654,0.007591,2.59
98661BBS-1_4_rot149.png,98661BBS-1,98661BBS-1,True,0.125928,0.354133,0.228205,2.40
98661BBS-1_4_rot23.png,98661BBS-1,98661BBS-1,True,0.133285,0.570218,0.436932,2.50
98661BBS-1_4_rot233.png,98661BBS-1,98661BBS-1,True,0.087558,0.339063,0.251505,1.90
98661BBS-1_4_rot71.png,98661BBS-1,98661BBS-1,True,0.199729,0.392531,0.192802,2.38
98661BBS-1_5_rot149.png,98661BBS-1,UNKNOWN,False,0.337948,0.694123,0.356175,2.52
98661BBS-1_5_rot23.png,98661BBS-1,98661BBS-1,True,0.143631,0.722718,0.579087,2.19
98661BBS-1_5_rot233.png,98661BBS-1,98661BBS-1,True,0.162827,0.552707,0.389880,2.02
98661BBS-1_5_rot71.png,98661BBS-1,UNKNOWN,False,0.774957,0.872257,0.097300,2.13
98661BBS-1_6_rot149.png,98661BBS-1,UNKNOWN,False,0.446252,1.071445,0.625193,4.27
98661BBS-1_6_rot23.png,98661BBS-1,UNKNOWN,False,0.161739,0.207171,0.045431,4.23
98661BBS-1_6_rot233.png,98661BBS-1,UNKNOWN,False,0.280641,0.964258,0.683617,4.83
98661BBS-1_6_rot71.png,98661BBS-1,98661BBS-1,True,0.218554,0.444203,0.225649,4.03
98661BBS-1_7_rot149.png,98661BBS-1,UNKNOWN,False,0.515207,1.222854,0.707647,2.97
98661BBS-1_7_rot23.png,98661BBS-1,98661BBS-1,True,0.193119,0.555268,0.362149,3.29
98661BBS-1_7_rot233.png,98661BBS-1,UNKNOWN,False,1.551894,1.844314,0.292420,3.72
98661BBS-1_7_rot71.png,98661BBS-1,98661BBS-1,True,0.116277,0.748830,0.632553,3.54
98661BBS-1_8_rot149.png,98661BBS-1,UNKNOWN,False,0.366408,0.945291,0.578884,2.96
98661BBS-1_8_rot23.png,98661BBS-1,98661BBS-1,True,0.137976,0.219734,0.081759,3.65
98661BBS-1_8_rot233.png,98661BBS-1,UNKNOWN,False,0.527860,0.932890,0.405030,3.03
98661BBS-1_8_rot71.png,98661BBS-1,UNKNOWN,False,0.330987,1.636978,1.305990,3.12
98661BBS-1_9_rot149.png,98661BBS-1,UNKNOWN,False,0.558243,0.920804,0.362561,3.84
98661BBS-1_9_rot23.png,98661BBS-1,98661BBS-1,True,0.140829,0.730883,0.590054,3.72
98661BBS-1_9_rot233.png,98661BBS-1,UNKNOWN,False,0.695843,1.287477,0.591634,2.67
98661BBS-1_9_rot71.png,98661BBS-1,UNKNOWN,False,8.524458,9.935542,1.411084,2.68
UH-004_1_rot149.png,UH-004,UH-004,True,0.034120,1.000836,0.966716,1.50
UH-004_1_rot23.png,UH-004,UH-8715P,True,0.037635,0.160302,0.122667,1.37
UH-004_1_rot233.png,UH-004,UNKNOWN,False,0.265448,0.316465,0.051017,1.24
UH-004_1_rot71.png,UH-004,98661BBS-1,True,0.173354,0.549984,0.376630,1.15
UH-004_2_rot149.png,UH-004,98661BBS-1,True,0.117645,0.385924,0.268278,2.65
UH-004_2_rot23.png,UH-004,UH-004,True,0.017133,0.198159,0.181027,2.44
UH-004_2_rot233.png,UH-004,UH-004,True,0.000076,0.205941,0.205865,2.73
UH-004_2_rot71.png,UH-004,UH-004,True,0.101871,0.169737,0.067866,2.75
UH-8715P_1_rot149.png,UH-8715P,UNKNOWN,False,2.736508,3.226386,0.489878,1.26
UH-8715P_1_rot23.png,UH-8715P,UH-8715P,True,0.167719,0.240239,0.072521,1.57
UH-8715P_1_rot233.png,UH-8715P,UNKNOWN,False,inf,inf,0.000000,1.34
UH-8715P_1_rot71.png,UH-8715P,UNKNOWN,False,0.439217,0.490234,0.051017,1.19
